Chromosome Position(bp) Rate(cM/Mb) Map(cM)
chr1 12550000 6.552174 0
chr1 12600000 6.513152 0
chr1 12650000 6.4425 0
chr1 12700000 6.333126 0
chr1 12750000 6.181017 0
chr1 12800000 5.992061 0
chr1 12850000 5.773752 0
chr1 12900000 5.533585 0
chr1 12950000 5.279054 0
chr1 1.3e+07 5.017652 0
chr1 13050000 4.747393 0
chr1 13100000 4.28992 0
chr1 13150000 3.720064 0
chr1 13200000 3.231021 0
chr1 13250000 2.896998 0
chr1 13300000 2.588294 0
chr1 13350000 2.300958 0
chr1 13400000 2.0345 0
chr1 13450000 1.788428 0
chr1 13500000 1.562251 0
chr1 13550000 1.355478 0
chr1 13600000 1.167617 0
chr1 13650000 0.998176 0
chr1 13700000 0.846666 0
chr1 13750000 0.712594 0
chr1 13800000 0.595469 0
chr1 13850000 0.494801 0
chr1 13900000 0.408575 0
chr1 13950000 0.338169 0
chr1 1.4e+07 0.291698 0
chr1 14050000 0.268154 0
chr1 14100000 0.255537 0
chr1 14150000 0.24726 0
chr1 14200000 0.235083 0
chr1 14250000 0.222064 0
chr1 14300000 0.207236 0
chr1 14350000 0.191489 0
chr1 14400000 0.175711 0
chr1 14450000 0.16079 0
chr1 14500000 0.147616 0
chr1 14550000 0.137078 0
chr1 14600000 0.130064 0
chr1 14650000 0.127463 0
chr1 14700000 0.130164 0
chr1 14750000 0.139057 0
chr1 14800000 0.155029 0
chr1 14850000 0.178969 0
chr1 14900000 0.211768 0
chr1 14950000 0.254312 0
chr1 1.5e+07 0.307492 0
chr1 15050000 0.372196 0
chr1 15100000 0.449312 0
chr1 15150000 0.539731 0
chr1 15200000 0.64434 0
chr1 15250000 0.764028 0
chr1 15300000 0.899685 0
chr1 15350000 1.052199 0
chr1 15400000 1.222459 0
chr1 15450000 1.411353 0
chr1 15500000 1.619772 0
chr1 15550000 1.848603 0
chr1 15600000 2.098735 0
chr1 15650000 2.356742 0
chr1 15700000 2.594713 0
chr1 15750000 2.815581 0
chr1 15800000 3.023221 0
chr1 15850000 3.221508 0
chr1 15900000 3.414297 0
chr1 15950000 3.5998 0
chr1 1.6e+07 3.779619 0
chr1 16050000 3.951411 0
chr1 16100000 4.114271 0
chr1 16150000 4.269838 0
chr1 16200000 4.419749 0
chr1 16250000 4.565643 0
chr1 16300000 4.70522 0
chr1 16350000 4.810312 0
chr1 16400000 4.885249 0
chr1 16450000 4.942602 0
chr1 16500000 4.994941 0
chr1 16550000 5.054838 0
chr1 16600000 5.134863 0
chr1 16650000 5.247966 0
chr1 16700000 5.439806 0
chr1 16750000 5.696276 0
chr1 16800000 5.96153 0
chr1 16850000 6.179721 0
chr1 16900000 6.295001 0
chr1 16950000 6.270477 0
chr1 1.7e+07 6.155849 0
chr1 17050000 6.006815 0
chr1 17100000 5.877653 0
chr1 17150000 5.745754 0
chr1 17200000 5.548291 0
chr1 17250000 5.300099 0
chr1 17300000 5.016185 0
chr1 17350000 4.711555 0
chr1 17400000 4.401215 0
chr1 17450000 4.100172 0
chr1 17500000 3.823432 0
chr1 17550000 3.586 0
chr1 17600000 3.402884 0
chr1 17650000 3.280868 0
chr1 17700000 3.183902 0
chr1 17750000 3.076081 0
chr1 17800000 2.986091 0
chr1 17850000 2.915945 0
chr1 17900000 2.862362 0
chr1 17950000 2.822057 0
chr1 1.8e+07 2.791747 0
chr1 18050000 2.772796 0
chr1 18100000 2.795329 0
chr1 18150000 2.850044 0
chr1 18200000 2.918129 0
chr1 18250000 2.980772 0
chr1 18300000 3.019163 0
chr1 18350000 3.039563 0
chr1 18400000 3.061509 0
chr1 18450000 3.084978 0
chr1 18500000 3.109942 0
chr1 18550000 3.137704 0
chr1 18600000 3.170707 0
chr1 18650000 3.206777 0
chr1 18700000 3.243502 0
chr1 18750000 3.278469 0
chr1 18800000 3.309263 0
chr1 18850000 3.33809 0
chr1 18900000 3.368193 0
chr1 18950000 3.398454 0
chr1 1.9e+07 3.427755 0
chr1 19050000 3.454976 0
chr1 19100000 3.479 0
chr1 19150000 3.498707 0
chr1 19200000 3.51298 0
chr1 19250000 3.520699 0
chr1 19300000 3.520747 0
chr1 19350000 3.512005 0
chr1 19400000 3.493353 0
chr1 19450000 3.463675 0
chr1 19500000 3.421669 0
chr1 19550000 3.357445 0
chr1 19600000 3.272317 0
chr1 19650000 3.175317 0
chr1 19700000 3.075478 0
chr1 19750000 2.981835 0
chr1 19800000 2.899244 0
chr1 19850000 2.796603 0
chr1 19900000 2.67129 0
chr1 19950000 2.530322 0
chr1 2e+07 2.380718 0
chr1 20050000 2.229499 0
chr1 20100000 2.083683 0
chr1 20150000 1.950288 0
chr1 20200000 1.836335 0
chr1 20250000 1.748842 0
chr1 20300000 1.691121 0
chr1 20350000 1.656081 0
chr1 20400000 1.639071 0
chr1 20450000 1.635626 0
chr1 20500000 1.641278 0
chr1 20550000 1.651563 0
chr1 20600000 1.662013 0
chr1 20650000 1.668163 0
chr1 20700000 1.666796 0
chr1 20750000 1.677446 0
chr1 20800000 1.704145 0
chr1 20850000 1.741504 0
chr1 20900000 1.784132 0
chr1 20950000 1.82664 0
chr1 2.1e+07 1.863639 0
chr1 21050000 1.889737 0
chr1 21100000 1.915712 0
chr1 21150000 1.951686 0
chr1 21200000 1.973625 0
chr1 21250000 1.995496 0
chr1 21300000 2.018935 0
chr1 21350000 2.043438 0
chr1 21400000 2.0685 0
chr1 21450000 2.09362 0
chr1 21500000 2.118292 0
chr1 21550000 2.142013 0
chr1 21600000 2.164157 0
chr1 21650000 2.184723 0
chr1 21700000 2.204549 0
chr1 21750000 2.224485 0
chr1 21800000 2.245381 0
chr1 21850000 2.268087 0
chr1 21900000 2.293454 0
chr1 21950000 2.322332 0
chr1 2.2e+07 2.355572 0
chr1 22050000 2.394024 0
chr1 22100000 2.438538 0
chr1 22150000 2.489966 0
chr1 22200000 2.549156 0
chr1 22250000 2.622434 0
chr1 22300000 2.71306 0
chr1 22350000 2.816844 0
chr1 22400000 2.929595 0
chr1 22450000 3.04712 0
chr1 22500000 3.16523 0
chr1 22550000 3.279733 0
chr1 22600000 3.386438 0
chr1 22650000 3.481154 0
chr1 22700000 3.559689 0
chr1 22750000 3.617901 0
chr1 22800000 3.657265 0
chr1 22850000 3.685652 0
chr1 22900000 3.710485 0
chr1 22950000 3.739184 0
chr1 2.3e+07 3.779963 0
chr1 23050000 3.835726 0
chr1 23100000 3.890728 0
chr1 23150000 3.927756 0
chr1 23200000 3.941663 0
chr1 23250000 3.940779 0
chr1 23300000 3.934102 0
chr1 23350000 3.930633 0
chr1 23400000 3.937379 0
chr1 23450000 3.939078 0
chr1 23500000 3.932503 0
chr1 23550000 3.92019 0
chr1 23600000 3.904675 0
chr1 23650000 3.888496 0
chr1 23700000 3.874189 0
chr1 23750000 3.864291 0
chr1 23800000 3.861339 0
chr1 23850000 3.86787 0
chr1 23900000 3.886419 0
chr1 23950000 3.933899 0
chr1 2.4e+07 4.018606 0
chr1 24050000 4.112043 0
chr1 24100000 4.185246 0
chr1 24150000 4.222731 0
chr1 24200000 4.248525 0
chr1 24250000 4.265701 0
chr1 24300000 4.275414 0
chr1 24350000 4.278814 0
chr1 24400000 4.277055 0
chr1 24450000 4.271288 0
chr1 24500000 4.262666 0
chr1 24550000 4.252342 0
chr1 24600000 4.241468 0
chr1 24650000 4.231196 0
chr1 24700000 4.222679 0
chr1 24750000 4.217068 0
chr1 24800000 4.215517 0
chr1 24850000 4.214088 0
chr1 24900000 4.204122 0
chr1 24950000 4.188993 0
chr1 2.5e+07 4.172502 0
chr1 25050000 4.158448 0
chr1 25100000 4.150628 0
chr1 25150000 4.15255 0
chr1 25200000 4.149566 0
chr1 25250000 4.141583 0
chr1 25300000 4.142357 0
chr1 25350000 4.173428 0
chr1 25400000 4.23638 0
chr1 25450000 4.307795 0
chr1 25500000 4.364154 0
chr1 25550000 4.395366 0
chr1 25600000 4.442503 0
chr1 25650000 4.506396 0
chr1 25700000 4.582026 0
chr1 25750000 4.664374 0
chr1 25800000 4.748423 0
chr1 25850000 4.829155 0
chr1 25900000 4.90155 0
chr1 25950000 4.96059 0
chr1 2.6e+07 5.001258 0
chr1 26050000 5.018534 0
chr1 26100000 5.007401 0
chr1 26150000 4.975032 0
chr1 26200000 4.932707 0
chr1 26250000 4.882027 0
chr1 26300000 4.824592 0
chr1 26350000 4.762004 0
chr1 26400000 4.691857 0
chr1 26450000 4.605545 0
chr1 26500000 4.491046 0
chr1 26550000 4.352522 0
chr1 26600000 4.194255 0
chr1 26650000 4.020527 0
chr1 26700000 3.835621 0
chr1 26750000 3.643818 0
chr1 26800000 3.449402 0
chr1 26850000 3.256655 0
chr1 26900000 3.069858 0
chr1 26950000 2.893295 0
chr1 2.7e+07 2.731247 0
chr1 27050000 2.587997 0
chr1 27100000 2.467827 0
chr1 27150000 2.37502 0
chr1 27200000 2.313858 0
chr1 27250000 2.286725 0
chr1 27300000 2.278805 0
chr1 27350000 2.286318 0
chr1 27400000 2.309635 0
chr1 27450000 2.349128 0
chr1 27500000 2.405167 0
chr1 27550000 2.478123 0
chr1 27600000 2.568367 0
chr1 27650000 2.682555 0
chr1 27700000 2.898316 0
chr1 27750000 3.180942 0
chr1 27800000 3.455795 0
chr1 27850000 3.648239 0
chr1 27900000 3.760307 0
chr1 27950000 3.872037 0
chr1 2.8e+07 3.980116 0
chr1 28050000 4.080369 0
chr1 28100000 4.16862 0
chr1 28150000 4.243879 0
chr1 28200000 4.339142 0
chr1 28250000 4.456111 0
chr1 28300000 4.58449 0
chr1 28350000 4.713985 0
chr1 28400000 4.834301 0
chr1 28450000 4.935141 0
chr1 28500000 5.006212 0
chr1 28550000 5.037228 0
chr1 28600000 5.030886 0
chr1 28650000 4.997472 0
chr1 28700000 4.939858 0
chr1 28750000 4.860916 0
chr1 28800000 4.763519 0
chr1 28850000 4.650541 0
chr1 28900000 4.524853 0
chr1 28950000 4.389328 0
chr1 2.9e+07 4.246841 0
chr1 29050000 4.100262 0
chr1 29100000 3.952465 0
chr1 29150000 3.806322 0
chr1 29200000 3.664708 0
chr1 29250000 3.530493 0
chr1 29300000 3.406551 0
chr1 29350000 3.294983 0
chr1 29400000 3.186699 0
chr1 29450000 3.077322 0
chr1 29500000 2.965614 0
chr1 29550000 2.850338 0
chr1 29600000 2.730263 0
chr1 29650000 2.605436 0
chr1 29700000 2.476726 0
chr1 29750000 2.344535 0
chr1 29800000 2.20927 0
chr1 29850000 2.071333 0
chr1 29900000 1.931131 0
chr1 29950000 1.789067 0
chr1 3e+07 1.645545 0
chr1 30050000 1.500971 0
chr1 30100000 1.355163 0
chr1 30150000 1.206862 0
chr1 30200000 1.056615 0
chr1 30250000 0.905096 0
chr1 30300000 0.753122 0
chr1 30350000 0 0
