Chromosome Position(bp) Rate(cM/Mb) Map(cM)
chr2 6650000 2.353924 0
chr2 6700000 2.398643 0
chr2 6750000 2.604316 0
chr2 6800000 2.9958 0
chr2 6850000 3.503006 0
chr2 6900000 3.949507 0
chr2 6950000 4.324487 0
chr2 7e+06 4.624218 0
chr2 7050000 4.850528 0
chr2 7100000 4.958448 0
chr2 7150000 4.940198 0
chr2 7200000 4.83563 0
chr2 7250000 4.684599 0
chr2 7300000 4.526958 0
chr2 7350000 4.402562 0
chr2 7400000 4.351262 0
chr2 7450000 4.356206 0
chr2 7500000 4.366961 0
chr2 7550000 4.376113 0
chr2 7600000 4.376252 0
chr2 7650000 4.361826 0
chr2 7700000 4.351587 0
chr2 7750000 4.349363 0
chr2 7800000 4.351326 0
chr2 7850000 4.35365 0
chr2 7900000 4.352509 0
chr2 7950000 4.344075 0
chr2 8e+06 4.324523 0
chr2 8050000 4.290025 0
chr2 8100000 4.236756 0
chr2 8150000 4.160889 0
chr2 8200000 4.058596 0
chr2 8250000 3.919889 0
chr2 8300000 3.714124 0
chr2 8350000 3.459673 0
chr2 8400000 3.182683 0
chr2 8450000 2.909301 0
chr2 8500000 2.665674 0
chr2 8550000 2.477949 0
chr2 8600000 2.362583 0
chr2 8650000 2.302333 0
chr2 8700000 2.281386 0
chr2 8750000 2.284376 0
chr2 8800000 2.296076 0
chr2 8850000 2.342042 0
chr2 8900000 2.439069 0
chr2 8950000 2.571649 0
chr2 9e+06 2.724277 0
chr2 9050000 2.881443 0
chr2 9100000 3.057964 0
chr2 9150000 3.291261 0
chr2 9200000 3.564969 0
chr2 9250000 3.861663 0
chr2 9300000 4.163913 0
chr2 9350000 4.454292 0
chr2 9400000 4.715373 0
chr2 9450000 4.929728 0
chr2 9500000 5.114883 0
chr2 9550000 5.330125 0
chr2 9600000 5.555553 0
chr2 9650000 5.768125 0
chr2 9700000 5.9448 0
chr2 9750000 6.062534 0
chr2 9800000 6.095377 0
chr2 9850000 5.944671 0
chr2 9900000 5.828606 0
chr2 9950000 5.699937 0
chr2 1e+07 5.55335 0
chr2 10050000 5.390647 0
chr2 10100000 5.126749 0
chr2 10150000 4.799058 0
chr2 10200000 4.446515 0
chr2 10250000 4.108062 0
chr2 10300000 3.822638 0
chr2 10350000 3.629186 0
chr2 10400000 3.566449 0
chr2 10450000 3.618189 0
chr2 10500000 3.711178 0
chr2 10550000 3.77047 0
chr2 10600000 3.759076 0
chr2 10650000 3.714543 0
chr2 10700000 3.6507 0
chr2 10750000 3.580802 0
chr2 10800000 3.518105 0
chr2 10850000 3.438669 0
chr2 10900000 3.296858 0
chr2 10950000 3.148021 0
chr2 1.1e+07 3.050935 0
chr2 11050000 3.053685 0
chr2 11100000 3.104887 0
chr2 11150000 3.192703 0
chr2 11200000 3.324197 0
chr2 11250000 3.524733 0
chr2 11300000 3.786054 0
chr2 11350000 4.079791 0
chr2 11400000 4.377575 0
chr2 11450000 4.651039 0
chr2 11500000 4.871813 0
chr2 11550000 5.013755 0
chr2 11600000 5.103392 0
chr2 11650000 5.160978 0
chr2 11700000 5.191496 0
chr2 11750000 5.199929 0
chr2 11800000 5.19126 0
chr2 11850000 5.170471 0
chr2 11900000 5.142546 0
chr2 11950000 5.112468 0
chr2 1.2e+07 5.08522 0
chr2 12050000 5.067933 0
chr2 12100000 5.068103 0
chr2 12150000 5.078451 0
chr2 12200000 5.090532 0
chr2 12250000 5.0959 0
chr2 12300000 5.086111 0
chr2 12350000 5.053423 0
chr2 12400000 5.003607 0
chr2 12450000 4.939249 0
chr2 12500000 4.859111 0
chr2 12550000 4.764295 0
chr2 12600000 4.661086 0
chr2 12650000 4.543532 0
chr2 12700000 4.404359 0
chr2 12750000 4.240236 0
chr2 12800000 4.059722 0
chr2 12850000 3.861011 0
chr2 12900000 3.641187 0
chr2 12950000 3.397331 0
chr2 1.3e+07 3.126527 0
chr2 13050000 2.828994 0
chr2 13100000 2.54451 0
chr2 13150000 2.335336 0
chr2 13200000 2.231616 0
chr2 13250000 2.198858 0
chr2 13300000 2.22328 0
chr2 13350000 2.29165 0
chr2 13400000 2.390732 0
chr2 13450000 2.507292 0
chr2 13500000 2.628097 0
chr2 13550000 2.739913 0
chr2 13600000 2.829504 0
chr2 13650000 2.883638 0
chr2 13700000 2.908712 0
chr2 13750000 2.934183 0
chr2 13800000 2.952893 0
chr2 13850000 2.96932 0
chr2 13900000 2.990846 0
chr2 13950000 3.017169 0
chr2 1.4e+07 3.047984 0
chr2 14050000 3.082989 0
chr2 14100000 3.036777 0
chr2 14150000 3.028503 0
chr2 14200000 3.077423 0
chr2 14250000 3.14338 0
chr2 14300000 3.223223 0
chr2 14350000 3.313801 0
chr2 14400000 3.411963 0
chr2 14450000 3.514559 0
chr2 14500000 3.618438 0
chr2 14550000 3.720449 0
chr2 14600000 3.817441 0
chr2 14650000 3.906264 0
chr2 14700000 3.983767 0
chr2 14750000 4.046798 0
chr2 14800000 4.092208 0
chr2 14850000 4.116748 0
chr2 14900000 4.111448 0
chr2 14950000 4.079764 0
chr2 1.5e+07 4.032663 0
chr2 15050000 3.98111 0
chr2 15100000 3.93606 0
chr2 15150000 3.899051 0
chr2 15200000 3.865853 0
chr2 15250000 3.837046 0
chr2 15300000 3.813211 0
chr2 15350000 3.794927 0
chr2 15400000 3.782773 0
chr2 15450000 3.777352 0
chr2 15500000 3.781388 0
chr2 15550000 3.79506 0
chr2 15600000 3.816323 0
chr2 15650000 3.843132 0
chr2 15700000 3.873442 0
chr2 15750000 3.905207 0
chr2 15800000 3.938666 0
chr2 15850000 3.992956 0
chr2 15900000 4.057874 0
chr2 15950000 4.114547 0
chr2 1.6e+07 4.149803 0
chr2 16050000 4.202262 0
chr2 16100000 4.27191 0
chr2 16150000 4.344849 0
chr2 16200000 4.407182 0
chr2 16250000 4.44501 0
chr2 16300000 4.444436 0
chr2 16350000 4.391692 0
chr2 16400000 4.285862 0
chr2 16450000 4.144346 0
chr2 16500000 3.98577 0
chr2 16550000 3.828761 0
chr2 16600000 3.691943 0
chr2 16650000 3.540335 0
chr2 16700000 3.344754 0
chr2 16750000 3.134063 0
chr2 16800000 2.937126 0
chr2 16850000 2.782805 0
chr2 16900000 2.668526 0
chr2 16950000 2.555045 0
chr2 1.7e+07 2.451297 0
chr2 17050000 2.367366 0
chr2 17100000 2.313336 0
chr2 17150000 2.29847 0
chr2 17200000 2.32221 0
chr2 17250000 2.378747 0
chr2 17300000 2.462363 0
chr2 17350000 2.567345 0
chr2 17400000 2.687974 0
chr2 17450000 2.818537 0
chr2 17500000 2.953317 0
chr2 17550000 3.086598 0
chr2 17600000 3.212664 0
chr2 17650000 3.3258 0
chr2 17700000 3.420289 0
chr2 17750000 3.49305 0
chr2 17800000 3.562472 0
chr2 17850000 3.639673 0
chr2 17900000 3.723272 0
chr2 17950000 3.810929 0
chr2 1.8e+07 3.900305 0
chr2 18050000 3.989063 0
chr2 18100000 4.074861 0
chr2 18150000 4.155362 0
chr2 18200000 4.228226 0
chr2 18250000 4.291114 0
chr2 18300000 4.341688 0
chr2 18350000 4.381583 0
chr2 18400000 4.430106 0
chr2 18450000 4.486068 0
chr2 18500000 4.544617 0
chr2 18550000 4.600902 0
chr2 18600000 4.65007 0
chr2 18650000 4.68727 0
chr2 18700000 4.70765 0
chr2 18750000 4.706357 0
chr2 18800000 4.67854 0
chr2 18850000 4.619347 0
chr2 18900000 4.523925 0
chr2 18950000 4.387423 0
chr2 1.9e+07 4.20499 0
chr2 19050000 3.980466 0
chr2 19100000 3.727168 0
chr2 19150000 3.445582 0
chr2 19200000 3.135222 0
chr2 19250000 2.796294 0
chr2 19300000 2.429002 0
chr2 19350000 2.033551 0
chr2 19400000 1.610148 0
chr2 19450000 1.158996 0
chr2 19500000 0.680301 0
chr2 19550000 0 0
