Chromosome Position(bp) Rate(cM/Mb) Map(cM)
chr4 8900000 3.900057 0
chr4 8950000 3.975854 0
chr4 9e+06 4.050374 0
chr4 9050000 4.121721 0
chr4 9100000 4.187997 0
chr4 9150000 4.247306 0
chr4 9200000 4.300917 0
chr4 9250000 4.358139 0
chr4 9300000 4.418027 0
chr4 9350000 4.478655 0
chr4 9400000 4.538094 0
chr4 9450000 4.594413 0
chr4 9500000 4.645686 0
chr4 9550000 4.689983 0
chr4 9600000 4.726214 0
chr4 9650000 4.75837 0
chr4 9700000 4.786744 0
chr4 9750000 4.810711 0
chr4 9800000 4.829647 0
chr4 9850000 4.842924 0
chr4 9900000 4.849918 0
chr4 9950000 4.850004 0
chr4 1e+07 4.842557 0
chr4 10050000 4.82695 0
chr4 10100000 4.80244 0
chr4 10150000 4.765228 0
chr4 10200000 4.715285 0
chr4 10250000 4.654722 0
chr4 10300000 4.585649 0
chr4 10350000 4.510207 0
chr4 10400000 4.437623 0
chr4 10450000 4.370475 0
chr4 10500000 4.303642 0
chr4 10550000 4.232005 0
chr4 10600000 4.150443 0
chr4 10650000 4.049413 0
chr4 10700000 3.92595 0
chr4 10750000 3.792323 0
chr4 10800000 3.661021 0
chr4 10850000 3.54453 0
chr4 10900000 3.455341 0
chr4 10950000 3.40594 0
chr4 1.1e+07 3.408817 0
chr4 11050000 3.483698 0
chr4 11100000 3.644798 0
chr4 11150000 3.857642 0
chr4 11200000 4.084744 0
chr4 11250000 4.288619 0
chr4 11300000 4.431782 0
chr4 11350000 4.494991 0
chr4 11400000 4.534484 0
chr4 11450000 4.559518 0
chr4 11500000 4.571779 0
chr4 11550000 4.572952 0
chr4 11600000 4.55803 0
chr4 11650000 4.515928 0
chr4 11700000 4.449777 0
chr4 11750000 4.363135 0
chr4 11800000 4.259564 0
chr4 11850000 4.142622 0
chr4 11900000 4.01587 0
chr4 11950000 3.882866 0
chr4 1.2e+07 3.747172 0
chr4 12050000 3.612347 0
chr4 12100000 3.481949 0
chr4 12150000 3.352803 0
chr4 12200000 3.206997 0
chr4 12250000 3.053211 0
chr4 12300000 2.902616 0
chr4 12350000 2.76638 0
chr4 12400000 2.655672 0
chr4 12450000 2.581145 0
chr4 12500000 2.534905 0
chr4 12550000 2.507543 0
chr4 12600000 2.495298 0
chr4 12650000 2.494412 0
chr4 12700000 2.501124 0
chr4 12750000 2.511674 0
chr4 12800000 2.522302 0
chr4 12850000 2.529249 0
chr4 12900000 2.528755 0
chr4 12950000 2.517059 0
chr4 1.3e+07 2.489483 0
chr4 13050000 2.43986 0
chr4 13100000 2.37276 0
chr4 13150000 2.294288 0
chr4 13200000 2.210545 0
chr4 13250000 2.127638 0
chr4 13300000 2.051669 0
chr4 13350000 1.988742 0
chr4 13400000 1.944961 0
chr4 13450000 1.926429 0
chr4 13500000 1.941263 0
chr4 13550000 1.996236 0
chr4 13600000 2.083909 0
chr4 13650000 2.195899 0
chr4 13700000 2.323822 0
chr4 13750000 2.459293 0
chr4 13800000 2.594532 0
chr4 13850000 2.736534 0
chr4 13900000 2.885249 0
chr4 13950000 3.034471 0
chr4 1.4e+07 3.178934 0
chr4 14050000 3.302022 0
chr4 14100000 3.415393 0
chr4 14150000 3.525853 0
chr4 14200000 3.629438 0
chr4 14250000 3.722182 0
chr4 14300000 3.800119 0
chr4 14350000 3.859285 0
chr4 14400000 3.895713 0
chr4 14450000 3.905438 0
chr4 14500000 3.884495 0
chr4 14550000 3.828919 0
chr4 14600000 3.734744 0
chr4 14650000 3.598005 0
chr4 14700000 3.414736 0
chr4 14750000 3.17546 0
chr4 14800000 2.793049 0
chr4 14850000 2.305664 0
chr4 14900000 1.801366 0
chr4 14950000 1.368219 0
chr4 1.5e+07 1.101538 0
chr4 15050000 1.024174 0
chr4 15100000 1.087114 0
chr4 15150000 1.24053 0
chr4 15200000 1.434597 0
chr4 15250000 1.619486 0
chr4 15300000 1.745373 0
chr4 15350000 1.781469 0
chr4 15400000 1.81526 0
chr4 15450000 1.863278 0
chr4 15500000 1.923218 0
chr4 15550000 1.992775 0
chr4 15600000 2.069644 0
chr4 15650000 2.15152 0
chr4 15700000 2.236097 0
chr4 15750000 2.32107 0
chr4 15800000 2.404134 0
chr4 15850000 2.482984 0
chr4 15900000 2.563869 0
chr4 15950000 2.667448 0
chr4 1.6e+07 2.794472 0
chr4 16050000 2.944605 0
chr4 16100000 3.11751 0
chr4 16150000 3.490892 0
chr4 16200000 4.151972 0
chr4 16250000 4.910824 0
chr4 16300000 5.577139 0
chr4 16350000 5.960608 0
chr4 16400000 5.870922 0
chr4 16450000 5.127141 0
chr4 16500000 3.79383 0
chr4 16550000 2.55589 0
chr4 16600000 1.665179 0
chr4 16650000 1.089926 0
chr4 16700000 0.798361 0
chr4 16750000 0.758717 0
chr4 16800000 0.939222 0
chr4 16850000 1.308108 0
chr4 16900000 1.833605 0
chr4 16950000 2.483944 0
chr4 1.7e+07 3.227354 0
chr4 17050000 4.03853 0
chr4 17100000 4.942239 0
chr4 17150000 5.884468 0
chr4 17200000 6.788945 0
chr4 17250000 7.579401 0
chr4 17300000 8.179562 0
chr4 17350000 8.524355 0
chr4 17400000 8.656905 0
chr4 17450000 8.644618 0
chr4 17500000 8.549315 0
chr4 17550000 8.426946 0
chr4 17600000 8.18299 0
chr4 17650000 7.789654 0
chr4 17700000 7.281821 0
chr4 17750000 6.694375 0
chr4 17800000 6.062199 0
chr4 17850000 5.420178 0
chr4 17900000 4.803194 0
chr4 17950000 4.246132 0
chr4 1.8e+07 3.783876 0
chr4 18050000 3.451308 0
chr4 18100000 3.335782 0
chr4 18150000 3.468168 0
chr4 18200000 3.663349 0
chr4 18250000 3.730283 0
chr4 18300000 3.561558 0
chr4 18350000 3.261305 0
chr4 18400000 2.826384 0
chr4 18450000 2.253499 0
chr4 18500000 1.547096 0
chr4 18550000 0 0
